date_str	all_ccpi	all_change_month_to_month	all_inflation_year_to_year	all_inflation_12_month_moving_average	food_ccpi	food_change_month_to_month	food_inflation_year_to_year	food_inflation_12_month_moving_average	non-food_ccpi	non-food_change_month_to_month	non-food_inflation_year_to_year	non-food_inflation_12_month_moving_average	alcoholic-beverages-and-tobacco_ccpi	alcoholic-beverages-and-tobacco_change_month_to_month	alcoholic-beverages-and-tobacco_inflation_year_to_year	alcoholic-beverages-and-tobacco_inflation_12_month_moving_average	clothing-and-footwear_ccpi	clothing-and-footwear_change_month_to_month	clothing-and-footwear_inflation_year_to_year	clothing-and-footwear_inflation_12_month_moving_average	housing-water-electricity-gas-and-other-fuels_ccpi	housing-water-electricity-gas-and-other-fuels_change_month_to_month	housing-water-electricity-gas-and-other-fuels_inflation_year_to_year	housing-water-electricity-gas-and-other-fuels_inflation_12_month_moving_average	furnishings-household-equipment-and-routine-household-maintenance_ccpi	furnishings-household-equipment-and-routine-household-maintenance_change_month_to_month	furnishings-household-equipment-and-routine-household-maintenance_inflation_year_to_year	furnishings-household-equipment-and-routine-household-maintenance_inflation_12_month_moving_average	health_ccpi	health_change_month_to_month	health_inflation_year_to_year	health_inflation_12_month_moving_average	transport_ccpi	transport_change_month_to_month	transport_inflation_year_to_year	transport_inflation_12_month_moving_average	communication_ccpi	communication_change_month_to_month	communication_inflation_year_to_year	communication_inflation_12_month_moving_average	recreation-and-culture_ccpi	recreation-and-culture_change_month_to_month	recreation-and-culture_inflation_year_to_year	recreation-and-culture_inflation_12_month_moving_average	education_ccpi	education_change_month_to_month	education_inflation_year_to_year	education_inflation_12_month_moving_average	restaurants-and-hotels_ccpi	restaurants-and-hotels_change_month_to_month	restaurants-and-hotels_inflation_year_to_year	restaurants-and-hotels_inflation_12_month_moving_average	miscellaneous-goods-and-services_ccpi	miscellaneous-goods-and-services_change_month_to_month	miscellaneous-goods-and-services_inflation_year_to_year	miscellaneous-goods-and-services_inflation_12_month_moving_average
2022-11-01	187.1	-0.007			238.9	-0.014			168.7	-0.005			170.2	-0.005			214.1	0.047			132.4	-0.008			186.9	0.008			169.0	0.031			237.2	-0.035			119.8	0.019			153.0	0.036			150.0	0.013			235.3	0.007			183.0	0.004		
2022-12-01	187.6	0.003			238.2	-0.003			169.6	0.005			167.8	-0.014			222.7	0.04			132.8	0.003			187.3	0.002			171.4	0.014			238.5	0.005			119.8	0.0			158.8	0.038			150.0	0.0			235.3	0.0			184.8	0.01		
2023-01-01	188.6	0.005			240.0	0.008			170.4	0.005			178.9	0.066			225.5	0.013			132.4	-0.003			187.6	0.002			171.6	0.001			238.1	-0.002			119.8	0.0			167.0	0.052			154.8	0.032			235.3	0.0			185.8	0.005		
2023-02-01	189.5	0.005	0.506		234.7	-0.022	0.544		173.4	0.018	0.488		182.8	0.022	0.447		235.1	0.043	0.814		137.1	0.035	0.243		187.9	0.002	0.55		172.1	0.003	0.451		241.7	0.015	0.927		119.8	0.0	0.34		171.7	0.028	0.574		155.2	0.003	0.341		235.3	0.0	0.692		184.0	-0.01	0.585	
2023-03-01	195.0	0.029	0.503		229.0	-0.024	0.476		183.0	0.055	0.517		181.7	-0.006	0.383		239.3	0.018	0.737		158.0	0.152	0.423		187.0	-0.005	0.49		174.4	0.013	0.431		244.4	0.011	0.727		119.8	0.0	0.339		171.9	0.001	0.56		155.2	0.0	0.341		234.3	-0.004	0.649		183.5	-0.003	0.554	
2023-04-01	192.3	-0.014	0.353		228.8	-0.001	0.306		179.3	-0.02	0.376		182.0	0.002	0.363		240.1	0.003	0.667		156.2	-0.011	0.377		186.4	-0.003	0.42		174.4	0.0	0.354		228.8	-0.064	0.323		119.8	0.0	0.339		173.2	0.008	0.472		155.2	0.0	0.198		231.4	-0.012	0.469		183.5	0.0	0.496	
2023-05-01	192.3	0.0	0.252		232.7	0.017	0.215		177.9	-0.008	0.27		179.5	-0.014	0.303		239.7	-0.002	0.506		155.1	-0.007	0.303		185.8	-0.003	0.263		174.4	0.0	0.273		225.0	-0.017	0.155		119.8	0.0	0.339		175.3	0.012	0.399		155.2	0.0	0.198		226.8	-0.02	0.332		183.6	0.001	0.289	
2023-06-01	192.3	0.0	0.12		235.7	0.013	0.041		176.9	-0.006	0.162		178.5	-0.006	0.214		242.5	0.012	0.438		153.3	-0.012	0.262		184.0	-0.01	0.171		174.6	0.001	0.158		221.6	-0.015	-0.031		119.8	0.0	0.29		175.3	0.0	0.333		155.2	0.0	0.092		232.1	0.023	0.159		183.4	-0.001	0.218	
2023-07-01	190.2	-0.011	0.063		235.8	0.0	-0.014		173.9	-0.017	0.105		199.2	0.116	0.277		246.0	0.014	0.424		144.1	-0.06	0.176		184.1	0.001	0.108		173.4	-0.007	0.133		221.8	0.001	-0.093		119.8	0.0	0.257		178.3	0.017	0.288		160.3	0.033	0.128		232.1	0.0	0.093		183.6	0.001	0.209	
2023-08-01	190.1	-0.001	0.04		232.8	-0.013	-0.048		174.9	0.006	0.087		205.8	0.033	0.304		244.4	-0.007	0.299		145.2	0.008	0.154		182.6	-0.008	0.062		173.2	-0.001	0.109		225.1	0.015	-0.092		119.8	0.0	0.253		175.5	-0.016	0.251		161.4	0.007	0.136		230.1	-0.009	0.083		185.6	0.011	0.141	
2023-09-01	191.8	0.009	0.013		234.1	0.006	-0.052		176.7	0.01	0.047		208.2	0.012	0.275		243.2	-0.005	0.224		146.9	0.012	0.097		181.5	-0.006	-0.005		173.2	0.0	0.079		229.2	0.018	-0.09		119.8	0.0	0.098		175.5	0.0	0.213		166.6	0.032	0.125		230.6	0.002	0.026		185.5	-0.001	0.04	
2023-10-01	191.4	-0.002	0.015		229.5	-0.02	-0.052		177.8	0.006	0.049		208.0	-0.001	0.216		242.2	-0.004	0.185		148.8	0.013	0.115		181.4	-0.001	-0.022		173.6	0.002	0.059		230.8	0.007	-0.061		119.8	0.0	0.019		174.1	-0.008	0.179		166.6	0.0	0.125		230.6	0.0	-0.013		186.2	0.004	0.021	
2023-11-01	193.4	0.01	0.034		230.3	0.003	-0.036		180.2	0.013	0.068		206.0	-0.01	0.21		242.5	0.001	0.133		154.8	0.04	0.169		182.3	0.005	-0.025		171.0	-0.015	0.012		230.3	-0.002	-0.029		119.8	0.0	0.0		172.5	-0.009	0.127		166.6	0.0	0.111		232.9	0.01	-0.01		186.0	-0.001	0.016	
2023-12-01	195.1	0.009	0.04	0.174	238.9	0.037	0.003	0.121	179.5	-0.004	0.058	0.2	204.1	-0.009	0.216	0.296	236.6	-0.024	0.062	0.393	154.6	-0.001	0.164	0.219	182.6	0.002	-0.025	0.176	171.0	0.0	-0.002	0.187	227.6	-0.012	-0.046	0.128	119.8	0.0	0.0	0.201	173.5	0.006	0.093	0.317	166.6	0.0	0.111	0.178	233.0	0.0	-0.01	0.211	186.0	0.0	0.006	0.226
2024-01-01	200.7	0.029	0.064	0.142	247.9	0.038	0.033	0.085	183.9	0.025	0.079	0.171	221.2	0.084	0.236	0.28	242.1	0.023	0.074	0.336	157.8	0.021	0.192	0.217	185.6	0.016	-0.011	0.134	172.3	0.008	0.004	0.152	234.9	0.032	-0.013	0.076	123.4	0.03	0.03	0.174	179.1	0.032	0.072	0.275	169.3	0.016	0.094	0.159	239.8	0.029	0.019	0.163	187.0	0.005	0.006	0.181
2024-02-01	200.6	0.0	0.059	0.113	242.8	-0.021	0.035	0.054	185.6	0.009	0.07	0.142	232.6	0.052	0.272	0.268	239.3	-0.012	0.018	0.276	158.7	0.006	0.158	0.21	187.0	0.008	-0.005	0.096	172.4	0.001	0.002	0.119	239.5	0.02	-0.009	0.028	124.2	0.006	0.037	0.149	180.0	0.005	0.048	0.233	172.4	0.018	0.111	0.142	239.8	0.0	0.019	0.12	187.8	0.004	0.021	0.141
2024-03-01	196.7	-0.019	0.009	0.08	237.8	-0.021	0.038	0.029	182.1	-0.019	-0.005	0.105	237.1	0.019	0.305	0.264	237.9	-0.006	-0.006	0.221	150.5	-0.052	-0.047	0.169	186.3	-0.004	-0.004	0.063	172.4	0.0	-0.011	0.088	239.5	0.0	-0.02	-0.012	124.2	0.0	0.037	0.125	180.0	0.0	0.047	0.195	172.6	0.001	0.112	0.127	239.1	-0.003	0.02	0.082	188.6	0.004	0.028	0.107
2024-04-01	195.2	-0.008	0.015	0.057	235.4	-0.01	0.029	0.012	180.9	-0.007	0.009	0.079	242.3	0.022	0.331	0.264	242.1	0.018	0.008	0.174	146.5	-0.027	-0.062	0.132	187.5	0.006	0.006	0.036	172.7	0.002	-0.01	0.061	240.3	0.003	0.05	-0.027	124.2	0.0	0.037	0.103	181.1	0.006	0.046	0.163	172.6	0.0	0.112	0.12	239.1	0.0	0.033	0.055	188.4	-0.001	0.027	0.077
2024-05-01	194.1	-0.006	0.009	0.039	232.6	-0.012	0.0	-0.003	180.3	-0.003	0.013	0.06	237.5	-0.02	0.323	0.266	243.3	0.005	0.015	0.139	145.6	-0.006	-0.061	0.101	187.4	-0.001	0.009	0.019	173.1	0.002	-0.007	0.041	239.4	-0.004	0.064	-0.032	124.2	0.0	0.037	0.081	181.1	0.0	0.033	0.135	172.6	0.0	0.112	0.114	239.2	0.0	0.055	0.037	189.7	0.007	0.033	0.059
2024-06-01	195.6	0.008	0.017	0.031	239.1	0.028	0.014	-0.005	180.1	-0.001	0.018	0.049	235.1	-0.01	0.317	0.274	243.7	0.002	0.005	0.107	145.1	-0.003	-0.053	0.075	187.7	0.002	0.02	0.008	178.3	0.03	0.021	0.03	236.7	-0.011	0.068	-0.025	124.1	-0.001	0.036	0.063	182.0	0.005	0.038	0.112	173.1	0.003	0.115	0.116	240.5	0.005	0.036	0.028	189.6	-0.001	0.034	0.045
2024-07-01	194.7	-0.005	0.024	0.028	239.4	0.001	0.015	-0.002	178.8	-0.007	0.028	0.043	238.9	0.016	0.199	0.267	244.1	0.002	-0.008	0.076	142.9	-0.015	-0.008	0.061	188.4	0.004	0.023	0.002	179.1	0.004	0.033	0.023	233.8	-0.012	0.054	-0.013	124.1	0.0	0.036	0.048	182.0	0.0	0.021	0.092	173.1	0.0	0.08	0.112	240.5	0.0	0.036	0.024	190.1	0.003	0.035	0.033
2024-08-01	191.1	-0.018	0.005	0.025	234.6	-0.02	0.008	0.002	175.6	-0.018	0.004	0.036	241.1	0.009	0.172	0.255	243.5	-0.002	-0.004	0.054	135.3	-0.053	-0.068	0.043	188.4	0.0	0.032	-0.001	179.1	0.0	0.034	0.017	232.9	-0.004	0.035	-0.002	124.1	0.0	0.036	0.033	180.9	-0.006	0.031	0.075	173.1	0.0	0.072	0.106	240.5	0.0	0.045	0.021	195.1	0.026	0.051	0.027
2024-09-01	190.9	-0.001	-0.005	0.024	233.3	-0.006	-0.003	0.007	175.8	0.001	-0.005	0.032	255.6	0.06	0.228	0.251	243.5	0.0	0.001	0.037	134.5	-0.006	-0.084	0.028	188.3	-0.001	0.037	0.003	180.2	0.006	0.04	0.014	231.0	-0.008	0.008	0.007	124.1	0.0	0.036	0.028	182.3	0.008	0.039	0.062	178.3	0.03	0.07	0.102	240.5	0.0	0.043	0.023	195.3	0.001	0.053	0.028
2024-10-01	189.9	-0.005	-0.008	0.022	231.9	-0.006	0.01	0.012	174.9	-0.005	-0.016	0.026	255.3	-0.001	0.227	0.252	244.8	0.005	0.011	0.024	134.5	0.0	-0.096	0.011	188.0	-0.002	0.036	0.008	180.2	0.0	0.038	0.013	226.7	-0.019	-0.018	0.011	124.1	0.0	0.036	0.03	182.9	0.003	0.051	0.053	178.3	0.0	0.07	0.097	238.8	-0.007	0.036	0.027	194.9	-0.002	0.047	0.03
2024-11-01	189.4	-0.003	-0.021	0.017	231.7	-0.001	0.006	0.016	174.3	-0.003	-0.033	0.018	244.0	-0.044	0.184	0.249	246.8	0.008	0.018	0.016	134.5	0.0	-0.131	-0.014	185.0	-0.016	0.015	0.011	181.5	0.007	0.061	0.017	224.9	-0.008	-0.023	0.011	124.1	0.0	0.036	0.033	182.9	0.0	0.06	0.048	178.3	0.0	0.07	0.094	238.4	-0.002	0.024	0.03	194.9	0.0	0.048	0.032
2024-12-01	191.7	0.012	-0.017	0.012	240.7	0.039	0.008	0.016	174.2	-0.001	-0.03	0.011	235.0	-0.037	0.151	0.242	247.6	0.003	0.046	0.014	135.1	0.004	-0.126	-0.037	183.4	-0.009	0.004	0.013	181.5	0.0	0.061	0.022	224.6	-0.001	-0.013	0.014	124.1	0.0	0.036	0.036	181.0	-0.01	0.043	0.044	178.3	0.0	0.07	0.09	238.4	0.0	0.023	0.032	194.3	-0.003	0.045	0.036
2025-01-01	192.6	0.005	-0.04	0.004	241.5	0.003	-0.026	0.011	175.2	0.006	-0.047	0.0	240.9	0.025	0.089	0.228	250.1	0.01	0.033	0.011	134.4	-0.005	-0.148	-0.063	189.0	0.031	0.018	0.016	183.0	0.008	0.062	0.027	226.9	0.01	-0.034	0.013	124.1	0.0	0.006	0.034	182.1	0.006	0.017	0.039	182.3	0.022	0.077	0.089	238.2	-0.001	-0.007	0.03	194.2	-0.001	0.039	0.038
2025-02-01	192.2	-0.002	-0.042	-0.005	242.3	0.003	-0.002	0.008	174.3	-0.005	-0.061	-0.011	244.1	0.013	0.049	0.208	251.0	0.004	0.049	0.014	132.2	-0.016	-0.167	-0.089	188.4	-0.003	0.007	0.017	183.0	0.0	0.061	0.032	226.9	0.0	-0.053	0.009	124.1	0.0	-0.001	0.03	181.0	-0.006	0.006	0.036	182.3	0.0	0.057	0.084	238.8	0.003	-0.004	0.028	195.1	0.005	0.039	0.04
2025-03-01	191.6	-0.003	-0.026	-0.008	239.2	-0.013	0.006	0.005	174.6	0.002	-0.041	-0.014	247.1	0.012	0.042	0.185	251.3	0.001	0.056	0.019	132.6	0.003	-0.119	-0.095	187.7	-0.004	0.008	0.018	184.0	0.005	0.067	0.038	226.9	0.0	-0.053	0.006	124.1	0.0	-0.001	0.027	181.8	0.004	0.01	0.033	182.3	0.0	0.056	0.08	238.8	0.0	-0.001	0.026	195.6	0.003	0.037	0.041
2025-04-01	191.2	-0.002	-0.02	-0.011	238.4	-0.003	0.013	0.004	174.4	-0.001	-0.036	-0.018	246.4	-0.003	0.017	0.158	252.1	0.003	0.041	0.022	132.9	0.002	-0.093	-0.097	186.0	-0.009	-0.008	0.017	184.2	0.001	0.067	0.045	225.5	-0.006	-0.062	-0.003	124.1	0.0	-0.001	0.024	181.8	0.0	0.004	0.029	182.3	0.0	0.056	0.075	238.8	0.0	-0.001	0.023	195.7	0.001	0.039	0.042
2025-05-01	192.8	0.008	-0.007	-0.012	244.8	0.027	0.052	0.008	174.3	-0.001	-0.033	-0.021	245.6	-0.003	0.034	0.135	252.3	0.001	0.037	0.024	132.8	-0.001	-0.088	-0.1	186.2	0.001	-0.006	0.015	184.8	0.003	0.068	0.051	223.9	-0.007	-0.065	-0.014	124.1	0.0	-0.001	0.021	182.4	0.003	0.007	0.027	182.3	0.0	0.056	0.071	240.1	0.005	0.004	0.019	195.9	0.001	0.033	0.042
2025-06-01	194.5	0.009	-0.006	-0.014	249.3	0.018	0.043	0.011	175.0	0.004	-0.028	-0.025	245.9	0.001	0.046	0.115	253.2	0.004	0.039	0.027	133.7	0.007	-0.079	-0.102	186.5	0.002	-0.006	0.013	185.0	0.001	0.038	0.052	223.7	-0.001	-0.055	-0.024	125.0	0.007	0.007	0.018	182.8	0.002	0.005	0.024	182.3	0.0	0.053	0.066	243.9	0.016	0.014	0.017	196.1	0.001	0.034	0.042
2025-07-01	194.1	-0.002	-0.003	-0.016	243.0	-0.025	0.015	0.011	176.7	0.01	-0.012	-0.028	247.9	0.008	0.038	0.102	254.5	0.005	0.043	0.031	136.0	0.017	-0.048	-0.105	185.7	-0.004	-0.014	0.01	187.0	0.011	0.044	0.053	226.0	0.01	-0.033	-0.031	125.0	0.0	0.007	0.016	184.3	0.008	0.013	0.023	182.3	0.0	0.053	0.063	244.5	0.002	0.017	0.016	197.1	0.005	0.037	0.042
2025-08-01	193.3	-0.004	0.012	-0.015	239.4	-0.015	0.02	0.012	177.0	0.002	0.008	-0.028	251.7	0.015	0.044	0.091	254.5	0.0	0.045	0.035	136.0	0.0	0.005	-0.1	186.0	0.002	-0.013	0.006	187.0	0.0	0.044	0.054	226.8	0.004	-0.026	-0.036	125.0	0.0	0.007	0.014	184.3	0.0	0.019	0.022	183.0	0.004	0.057	0.062	244.5	0.0	0.017	0.013	197.2	0.001	0.011	0.038
2025-09-01	193.7	0.002	0.015	-0.014	240.1	0.003	0.029	0.014	177.1	0.001	0.007	-0.027	250.9	-0.003	-0.018	0.071	254.8	0.001	0.046	0.039	135.4	-0.004	0.007	-0.093	190.6	0.025	0.012	0.004	187.0	0.0	0.038	0.054	225.8	-0.004	-0.023	-0.038	125.0	0.0	0.007	0.011	185.0	0.004	0.015	0.02	188.4	0.03	0.057	0.061	244.5	0.0	0.017	0.011	197.8	0.003	0.013	0.035
2025-10-01	193.8	0.001	0.021	-0.012	240.0	0.0	0.035	0.016	177.4	0.002	0.014	-0.025	251.9	0.004	-0.013	0.052	255.8	0.004	0.045	0.042	135.3	-0.001	0.006	-0.085	190.2	-0.002	0.012	0.002	190.2	0.017	0.055	0.055	225.1	-0.003	-0.007	-0.038	125.0	0.0	0.007	0.009	184.1	-0.005	0.007	0.017	188.4	0.0	0.057	0.06	246.7	0.009	0.033	0.011	198.8	0.005	0.02	0.033
2025-11-01	193.4	-0.002	0.021	-0.008	238.6	-0.006	0.03	0.018	177.3	-0.001	0.017	-0.021	248.2	-0.015	0.017	0.039	255.7	0.0	0.036	0.043	135.3	0.0	0.006	-0.074	190.4	0.001	0.029	0.004	190.2	0.0	0.048	0.054	224.4	-0.003	-0.002	-0.036	125.0	0.0	0.007	0.007	184.1	0.0	0.007	0.012	188.4	0.0	0.057	0.059	247.6	0.004	0.039	0.012	199.0	0.001	0.021	0.03
2025-12-01	195.8	0.012	0.021	-0.005	247.9	0.039	0.03	0.02	177.3	0.0	0.018	-0.017	246.4	-0.007	0.049	0.032	257.5	0.007	0.04	0.043	135.3	0.0	0.001	-0.063	190.2	-0.001	0.037	0.006	190.4	0.001	0.049	0.053	224.2	-0.001	-0.002	-0.035	125.0	0.0	0.007	0.004	183.5	-0.003	0.014	0.01	188.4	0.0	0.057	0.058	248.0	0.002	0.04	0.014	199.2	0.001	0.025	0.029
2026-01-01	197.0	0.006	0.023	0.0	249.4	0.006	0.033	0.025	178.3	0.006	0.018	-0.011	249.3	0.012	0.035	0.028	259.1	0.006	0.036	0.043	136.6	0.01	0.016	-0.049	191.0	0.004	0.011	0.006	190.6	0.001	0.042	0.052	224.8	0.003	-0.009	-0.033	125.0	0.0	0.007	0.005	183.5	0.0	0.008	0.009	189.4	0.005	0.039	0.055	249.8	0.007	0.049	0.018	200.3	0.006	0.031	0.028
2026-02-01	195.3	-0.009	0.016	0.005	242.9	-0.026	0.002	0.026	178.3	0.0	0.023	-0.004	249.2	0.0	0.021	0.025	260.4	0.005	0.037	0.042	136.6	0.0	0.033	-0.031	191.1	0.001	0.014	0.006	190.7	0.001	0.042	0.05	224.4	-0.002	-0.011	-0.029	125.3	0.002	0.01	0.005	183.1	-0.002	0.012	0.01	189.4	0.0	0.039	0.053	250.2	0.002	0.048	0.023	200.4	0.0	0.027	0.027
2026-03-01	195.8	0.003	0.022	0.009	240.9	-0.008	0.007	0.026	179.7	0.008	0.029	0.002	248.2	-0.004	0.004	0.022	260.8	0.002	0.038	0.04	137.0	0.003	0.033	-0.018	191.2	0.001	0.019	0.007	190.8	0.001	0.037	0.047	228.8	0.02	0.008	-0.024	125.3	0.0	0.01	0.006	183.1	0.0	0.007	0.01	191.4	0.011	0.05	0.052	250.5	0.001	0.049	0.027	207.3	0.034	0.06	0.029
2026-04-01	201.6	0.03	0.054	0.016	245.1	0.017	0.028	0.027	186.2	0.036	0.068	0.01	251.4	0.013	0.02	0.022	261.0	0.001	0.035	0.04	140.1	0.023	0.054	-0.006	191.5	0.002	0.03	0.01	191.4	0.003	0.039	0.045	251.7	0.1	0.116	-0.01	125.3	0.0	0.01	0.007	183.0	-0.001	0.007	0.01	194.1	0.014	0.065	0.053	263.9	0.053	0.105	0.036	207.4	0.0	0.06	0.031
2026-05-01	203.4	0.009	0.055	0.021	247.1	0.008	0.009	0.023	187.9	0.009	0.078	0.02	253.0	0.006	0.03	0.022	256.5	-0.017	0.017	0.038	141.9	0.013	0.069	0.008	193.4	0.01	0.039	0.014	192.6	0.006	0.042	0.043	255.0	0.013	0.139	0.007	125.3	0.0	0.01	0.008	182.6	-0.002	0.001	0.009	194.1	0.0	0.065	0.054	268.6	0.018	0.119	0.045	207.5	0.0	0.059	0.033
2026-06-01	207.7	0.021	0.068	0.027	258.2	0.045	0.036	0.023	189.7	0.01	0.084	0.029	250.0	-0.012	0.017	0.02	256.6	0.0	0.013	0.036	142.1	0.001	0.063	0.02	194.8	0.007	0.045	0.018	192.7	0.001	0.042	0.043	265.5	0.041	0.187	0.027	125.4	0.001	0.003	0.008	180.3	-0.013	-0.014	0.008	194.1	0.0	0.065	0.055	269.1	0.002	0.103	0.053	207.5	0.0	0.058	0.035
