date_str	all_ccpi	all_change_month_to_month	all_inflation_year_to_year	all_inflation_12_month_moving_average	food_ccpi	food_change_month_to_month	food_inflation_year_to_year	food_inflation_12_month_moving_average	non-food_ccpi	non-food_change_month_to_month	non-food_inflation_year_to_year	non-food_inflation_12_month_moving_average	alcoholic-beverages-and-tobacco_ccpi	alcoholic-beverages-and-tobacco_change_month_to_month	alcoholic-beverages-and-tobacco_inflation_year_to_year	alcoholic-beverages-and-tobacco_inflation_12_month_moving_average	clothing-and-footwear_ccpi	clothing-and-footwear_change_month_to_month	clothing-and-footwear_inflation_year_to_year	clothing-and-footwear_inflation_12_month_moving_average	housing-water-electricity-gas-and-other-fuels_ccpi	housing-water-electricity-gas-and-other-fuels_change_month_to_month	housing-water-electricity-gas-and-other-fuels_inflation_year_to_year	housing-water-electricity-gas-and-other-fuels_inflation_12_month_moving_average	furnishings-household-equipment-and-routine-household-maintenance_ccpi	furnishings-household-equipment-and-routine-household-maintenance_change_month_to_month	furnishings-household-equipment-and-routine-household-maintenance_inflation_year_to_year	furnishings-household-equipment-and-routine-household-maintenance_inflation_12_month_moving_average	health_ccpi	health_change_month_to_month	health_inflation_year_to_year	health_inflation_12_month_moving_average	transport_ccpi	transport_change_month_to_month	transport_inflation_year_to_year	transport_inflation_12_month_moving_average	communication_ccpi	communication_change_month_to_month	communication_inflation_year_to_year	communication_inflation_12_month_moving_average	recreation-and-culture_ccpi	recreation-and-culture_change_month_to_month	recreation-and-culture_inflation_year_to_year	recreation-and-culture_inflation_12_month_moving_average	education_ccpi	education_change_month_to_month	education_inflation_year_to_year	education_inflation_12_month_moving_average	restaurants-and-hotels_ccpi	restaurants-and-hotels_change_month_to_month	restaurants-and-hotels_inflation_year_to_year	restaurants-and-hotels_inflation_12_month_moving_average	miscellaneous-goods-and-services_ccpi	miscellaneous-goods-and-services_change_month_to_month	miscellaneous-goods-and-services_inflation_year_to_year	miscellaneous-goods-and-services_inflation_12_month_moving_average
2022-01-01	124.3				150.0				115.2				123.9				124.9				109.7				119.5				118.6				122.4				89.4				105.6				115.7				136.7				114.9	0.149		
2022-02-01	125.8	0.012			152.0	0.013			116.5	0.011			126.3	0.019			129.6	0.038			110.3	0.005			121.2	0.014			118.6	0.0			125.4	0.025			89.4	0.0			109.1	0.033			115.7	0.0			139.1	0.018			116.1	0.01		
2022-03-01	129.7	0.031			155.2	0.021			120.6	0.035			131.4	0.04			137.8	0.063			111.0	0.006			125.5	0.035			121.9	0.028			141.5	0.128			89.5	0.001			110.2	0.01			115.7	0.0			142.1	0.022			118.1	0.017		
2022-04-01	142.1	0.096			175.2	0.129			130.3	0.08			133.5	0.016			144.0	0.045			113.4	0.022			131.3	0.046			128.8	0.057			172.9	0.222			89.5	0.0			117.7	0.068			129.6	0.12			157.5	0.108			122.7	0.039		
2022-05-01	153.6	0.081			191.6	0.094			140.1	0.075			137.8	0.032			159.2	0.106			119.0	0.049			147.1	0.12			137.0	0.064			194.8	0.127			89.5	0.0			125.3	0.065			129.6	0.0			170.3	0.081			142.4	0.161		
2022-06-01	171.7	0.118			226.4	0.182			152.2	0.086			147.0	0.067			168.6	0.059			121.5	0.021			157.1	0.068			150.8	0.101			228.7	0.174			92.9	0.038			131.5	0.049			142.1	0.096			200.2	0.176			150.6	0.058		
2022-07-01	178.9	0.042			239.2	0.057			157.4	0.034			156.0	0.061			172.7	0.024			122.5	0.008			166.2	0.058			153.1	0.015			244.5	0.069			95.3	0.026			138.4	0.052			142.1	0.0			212.4	0.061			151.9	0.009		
2022-08-01	182.8	0.022			244.6	0.023			160.9	0.022			157.8	0.012			188.1	0.089			125.8	0.027			171.9	0.034			156.2	0.02			247.8	0.013			95.6	0.003			140.3	0.014			142.1	0.0			212.4	0.0			162.6	0.07		
2022-09-01	189.3	0.036			246.9	0.009			168.8	0.049			163.3	0.035			198.7	0.056			133.9	0.064			182.4	0.061			160.5	0.028			252.0	0.017			109.1	0.141			144.7	0.031			148.1	0.042			224.7	0.058			178.4	0.097		
2022-10-01	188.5	-0.004			242.2	-0.019			169.5	0.004			171.1	0.048			204.4	0.029			133.5	-0.003			185.5	0.017			163.9	0.021			245.9	-0.024			117.6	0.078			147.7	0.021			148.1	0.0			233.6	0.04			182.3	0.022		
